NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Villabox Supermercado | Loja João XXIII;4.4;363 comentários;R. Pôrto Velho, 467 - João XXIII, Fortaleza - CE, 60525-571;Supermercado;15 min;Supermercado
Atacadão Largos Filial;4.0;2 comentários;Rua Governador Sampaio, 138 - Centro, Fortaleza - CE, 60055-050;Supermercado;;Supermercado
Galo Branco;5.0;Um comentário;Rua Governador Sampaio, 408 - Centro, Fortaleza - CE, 60055-050;Supermercado;;Supermercado
Mercado N4 (antigo nazareno);4.5;31 comentários;R. Saldanha Marinho, 761 - Fátima, Fortaleza - CE, 60040-280;Supermercado;;Supermercado
super Uchôa;4.5;2 comentários;Fortaleza - Zone 1, Fortaleza - CE;Supermercado;;Supermercado
Leite E Massa Barato;3.5;4 comentários;Rua Governador Sampaio, 172 - Centro, Fortaleza - CE, 60055-050;Supermercado;;Supermercado
Monteiro Supermercado;4.7;3 comentários;Av. César Cals, 484 - Praia do Futuro, Fortaleza - CE, 60183-550;Supermercado;;Supermercado
DMais Supermercado;4.2;278 comentários;R. 15 de Novembro, 600 - Montese, Fortaleza - CE, 60421-076;Supermercado;15 min;Supermercado
Mercadinho Senador;4.5;35 comentários;R. Sen. Pompeu, 2354 - Benfica, Fortaleza - CE, 60025-002;Supermercado;;Supermercado
Mercado Imperial;4.2;10 comentários;Rua Princesa Isabel, 1618 - Farias Brito, Fortaleza - CE, 60015-061;Supermercado;;Supermercado
Super Conquista;4.1;49 comentários;Av. H, 2340 - Conj. Ceará II, Fortaleza - CE, 60533-666;Supermercado;15 min;Supermercado
Mercadinho do Lar;4.3;4 comentários;Rua Padre Antonino, 364 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-480;Supermercado;;Supermercado
Pão de Açúcar;4.3;1.273 comentários;Rua Bárbara de Alencar, 1887 - Loja 1 - Aldeota, Fortaleza - CE, 60140-000;Supermercado;20 min;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Nidobox Supermercado - Praxedes;4.2;2.243 comentários;R. Des. Praxedes, 370 - Damas, Fortaleza - CE, 60425-236;Supermercado;20 min;Supermercado
Mercadito;1.7;6 comentários;Av. Historiador Raimundo Girão, 35 - Praia de Iracema, Fortaleza - CE, 60165-050;Supermercado;;Supermercado
Butekão armazém;;;Rua Governador Sampaio, 314 - Centro, Fortaleza - CE, 60055-050;;;Supermercado
Frangolândia Supermercado Cocó: Carnes, Frutas, Delivery em Fortaleza CE;3.9;1.495 comentários;Av. Antônio Sales, 3700 - Cocó, Fortaleza - CE, 60135-102;Supermercado;20 min;Supermercado
RL Bombom;;;Avenida Imperador, 456 - Centro, Fortaleza - CE, 60015-050;;;Supermercado
Mercadinho Jalcy;;;Av. Duque de Caxias - Centro, Fortaleza - CE, 60020-030;;;Supermercado
Nidobox Supermercado - Matriz;4.2;1.570 comentários;R. Ten. Moacir Matos, 800 - Montese, Fortaleza - CE, 60420-720;Supermercado;20 min;Supermercado
Rede Parceria Supermercados;;;R. Verbena, 650 - Bonsucesso, Fortaleza - CE, 60545-350;;;Supermercado
Mercadinho O Gordo;4.7;26 comentários;R. Padre Mororó, 730 - Centro, Fortaleza - CE, 60015-220;Supermercado;;Supermercado
Atacadão Fortaleza - Osório de Paiva;4.4;3.969 comentários;Av. Gen. Osório de Paiva, 6297 - Canindezinho, Fortaleza - CE, 60731-335;Atacadista;20 min a 1,5 h;Supermercado
Mercadinho Raio de Sol;4.7;16 comentários;Rua Dom Sebastião Leme, 555 - Fátima, Fortaleza - CE, 60050-100;Supermercado;15 min;Supermercado
Mercadinho Serrano;4.9;7 comentários;Av. Visconde do Rio Branco, 1682 - Centro, Fortaleza - CE, 60055-170;Supermercado;;Supermercado
Laredo Atacado e Varejo;4.4;207 comentários;R. Tereza Cristina, 1177 - Centro, Fortaleza - CE, 60015-140;Supermercado;20 min;Supermercado
Cometa Supermercados - Engenheiro Santana Jr.;4.5;1.133 comentários;Av. Eng. Santana Jr., 699 - Cocó, Fortaleza - CE, 60175-657;Supermercado;20 min;Supermercado
Mercadinho VFL;4.6;182 comentários;R. Paula Barros, 287 - Meireles, Fortaleza - CE, 60170-060;Mercado;15 min;Supermercado
Mercadinho Micro Mercantil Milton;4.0;4 comentários;R. Jaime Benévolo - Centro, Fortaleza - CE, 60050-080;Supermercado;;Supermercado
Frangolândia Supermercado Álvaro Weyne: Carnes, Frutas, Delivery, Fortaleza CE;4.1;3.921 comentários;Av. Francisco Sá, 4474 - Álvaro Weyne, Fortaleza - CE, 60355-198;Supermercado;20 min;Supermercado
Mercadinho Domingos;;;José Bonifacio, Fortaleza - CE, 60050-080;;;Supermercado
Mercadinho A.D;;;60331450, Fortaleza - CE, 60331-450;;;Supermercado
Rede Uniforça Supermercados;3.5;2 comentários;R. José Franca Cabral, 342 - Mata Galinha, Fortaleza - CE, 60867-580;Supermercado;20 min;Supermercado
Assaí Atacadista;4.3;2.168 comentários;Av. Bezerra de Menezes, 571 - Farias Brito, Fortaleza - CE, 60325-003;Supermercado;15 min a 1 h;Supermercado
Supermercado Pinheiro - Praia de Iracema;4.4;2.396 comentários;Av. Monsenhor Tabosa, 697 - Praia de Iracema, Fortaleza - CE, 60165-011;Supermercado;25 min;Supermercado
Solmar Super - Benfica - atacado e varejo;4.4;1.364 comentários;R. Tereza Cristina, 1161 - Centro, Fortaleza - CE, 60015-141;Supermercado;30 min;Supermercado
Associação Cearense de Supermercados;4.5;11 comentários;Av. Barão de Studart, 2500 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60120-002;Consultoria empresarial;;Supermercado
Cometa Supermercados - J da Penha;4.3;1.978 comentários;R. J da Penha, 700 - Centro, Fortaleza - CE, 60110-120;Supermercado;20 min;Supermercado
Frangolândia Supermercado Monte Castelo: Carnes, Frutas, Delivery em Fortaleza CE;4.1;3.376 comentários;R. Padre Anchieta, 581 - Monte Castelo, Fortaleza - CE, 60325-520;Supermercado;10-45 min;Supermercado
Companhia Brasileira de Distribuição;5.0;2 comentários;Av. Senador Fernandes Távora, s/n - Centro, Fortaleza - CE, 60050-040;Supermercado;;Supermercado
Mercadinho O Carlinhos;4.3;7 comentários;Rua Dom Joaquim, 92 - Centro, Fortaleza - CE, 60110-100;Supermercado;;Supermercado
Cometa Supermercados - Castelo Branco;4.3;3.498 comentários;Av. Leste Oeste, Av. Pres. Castelo Branco, 5211 - Barra do Ceará, Fortaleza - CE, 60312-060;Supermercado;20 min;Supermercado
Mercantil Tamboril;4.3;15 comentários;Rua Princesa Isabel, 341 - Centro, Fortaleza - CE, 60015-060;Supermercado;15 min;Supermercado
Mercantinho;4.8;4 comentários;Av. Visconde do Rio Branco, 2412 - José Bonifacio, Fortaleza - CE, 60110-001;Supermercado;;Supermercado
Supermercado Glau Gley;;;Rua do Rosário, 218 - Centro, Fortaleza - CE, 60055-100;;;Supermercado
GBarbosa Padre Valdevino;4.0;2.461 comentários;Rua Padre Valdevino, 920 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-040;Supermercado;20-45 min;Supermercado
Atacadão - Unidade Aeroporto;4.4;5.969 comentários;Av. Senador Carlos Jereissati, 3001 - Serrinha, Fortaleza - CE, 60741-215;Atacadista;25 min a 1,5 h;Supermercado
Solmar Super (Clarindo de Queiroz);4.2;121 comentários;R. Gen. Clarindo de Queiroz, 1566 - Centro, Fortaleza - CE, 60035-131;Distribuidora de Bebidas;;Supermercado
Fernando;;;Av. Santos Dumont, 139 - Centro, Fortaleza - CE, 60150-160;;;Supermercado
Mercadinho J. Edilson;4.0;6 comentários;Rua Princesa Isabel, 1584 - Farias Brito, Fortaleza - CE, 60015-061;Supermercado;;Supermercado
Mercadinho Nonas;4.5;6 comentários;Rua Conselheiro Tristão, 277 - Centro, Fortaleza - CE, 60050-001;Supermercado;;Supermercado
Ronaldo Drinks;5.0;3 comentários;R. Gen. Clarindo de Queiroz, 218 - Centro, Fortaleza - CE, 60035-130;Supermercado;;Supermercado
Rede Uniforça Supermercados;4.4;17 comentários;Rua Barão do Crato, 1041 - Carlito Pamplona, Fortaleza - CE, 60326-225;Supermercado;15 min;Supermercado
STUSSY PERFEITA ULTILIDADE;4.6;16 comentários;R. Gen. Sampaio, 678 - Centro, Fortaleza - CE, 60020-030;Supermercado asiático;;Supermercado
Ecoville Fortaleza Supermercado Da Limpeza;5.0;2 comentários;Av. Barão de Studart, 1420 - Loja 01 e 02 - Aldeota, Fortaleza - CE, 60120-001;Supermercado;;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Supermercado Pinheiro - Washington Soares;4.2;1.540 comentários;Av. Washington Soares, 10008 - Loja 06 - Messejana, Fortaleza - CE, 60843-285;Supermercado;20 min;Supermercado
Nenen Hortifruti Box 210 Setor A;5.0;Um comentário;R. Gen. Clarindo de Queiroz - Centro, Fortaleza - CE, 60035-130;Supermercado;;Supermercado
Mercadinho do bairro;4.2;19 comentários;Rua Dr. Atualpa Barbosa Lima, 618 - Meireles, Fortaleza - CE, 60060-370;Mercado de produtos agrícolas;;Supermercado
Bar e Lanchonete São José;1.0;Um comentário;Rua General Clarindo Queiroz 1068, Fortaleza - CE, 60035-130;Supermercado;;Supermercado
Liderbox Supermercado;4.4;162 comentários;Rua Tenente Roma, 206 - Aerolândia, Fortaleza - CE, 60851-030;Mercado em Fortaleza, Ceará;15 min;Supermercado
Santa Helena;5.0;Um comentário;José Bonifacio, Fortaleza - CE, 60050-011;Supermercado;;Supermercado
Mercadinho Marechal Deodoro;4.5;23 comentários;Rua Marechal Deodoro, 673 - Benfica, Fortaleza - CE, 60020-060;Mercado;;Supermercado
Mercadinho e Frigorífico o Fernando;3.9;71 comentários;Av. Santos Dumont, 126 - Centro, Fortaleza - CE, 60150-160;Mercado;;Supermercado
Atacadão - Eusébio;4.2;3.771 comentários;Estr. Barão de Aquiraz - Coaçu, Fortaleza - CE, 61760-000;Atacadista;25 min a 1,5 h;Supermercado
Cachaçaria Real;5.0;Um comentário;R. Meton de Alencar, 1677 - Otávio Bonfim, Fortaleza - CE, 60035-160;Supermercado;;Supermercado
FuracaodeOfertas;;;R. Sen. Pompeu, 834 - Centro, Fortaleza - CE, 60025-000;;;Supermercado
Atacadão Mix;4.7;15 comentários;R. Floriano Peixoto, 382 - Centro, Fortaleza - CE, 60025-130;Loja de variedades em Fortaleza, Ceará;25 min;Supermercado
Centro de Distribuição Supermercado Pinheiro;4.4;354 comentários;Rod. Estr. do Guarani (BR116), s/n - km 13 - Paupina, Fortaleza - CE, 60873-530;Serviço de distribuição em Fortaleza, Ceará;;Supermercado
Super Lagoa;4.3;370 comentários;Av. Bernardo Manuel, 10970 - Mondubim, Fortaleza - CE, 60760-000;Serviço de distribuição em Fortaleza, Ceará;;Supermercado
Delícia de Frango;5.0;2 comentários;R. Jaime Benévolo, 891 - José Bonifacio, Fortaleza - CE, 60050-080;Supermercado;;Supermercado
Perto do Campo - Centro Fortaleza;4.2;74 comentários;R. Barão do Rio Branco, 2320 - José Bonifacio, Fortaleza - CE, 60025-061;Mercado em Fortaleza, Ceará;15 min;Supermercado
Horta organica;;;Centro, Fortaleza - CE, 60050-040;;;Supermercado
sempre Aki;;;R. Pedro I, 165-231 - Centro, Fortaleza - CE, 60035-100;;;Supermercado
Distribuirdora Bessa Polpas;3.6;5 comentários;Av. Heráclito Graça, 710b - Centro, Fortaleza - CE, 60140-060;Supermercado;;Supermercado
Mercado Central de Fortaleza;4.4;51.138 comentários;Av. Alberto Nepomuceno, 199 - Centro, Fortaleza - CE, 60055-000;Mercado em Fortaleza, Ceará;;Supermercado
Supermercado Guará Eusébio: Carnes, Frutas, Verduras, Delivery, Eusébio CE;4.3;2.328 comentários;CE-040, 1085 - Centro, Eusébio - CE, 61760-000;Supermercado;15 min;Supermercado
Assaí Atacadista;4.3;2.168 comentários;Av. Bezerra de Menezes, 571 - Farias Brito, Fortaleza - CE, 60325-003;Supermercado;15 min a 1 h;Supermercado
Pão de Açúcar;4.3;1.995 comentários;Av. Bezerra de Menezes, 1498/1548 - São Gerardo, Fortaleza - CE, 60325-001;Supermercado;20 min;Supermercado
Shopping Del Paseo;4.5;14.447 comentários;Av. Santos Dumont, 3131 - Aldeota, Fortaleza - CE, 60150-165;Shopping center;15 min a 1,5 h;Supermercado
EVS - L&J Palácio Progresso;;;R. do Pocinho, 33 sala 303 - Centro Fortaleza - CE 60055-110 - Sala 303 - Centro, Fortaleza - CE, 60055-110;;;Supermercado
Mercadinho Novo;4.0;2 comentários;R. Tereza Cristina, 1684 - Farias Brito, Fortaleza - CE, 60015-141;Supermercado;;Supermercado
Lojas Center Aço Fortaleza - Gondolas e Prateleiras;4.3;49 comentários;Av. Dom Manuel, 1251 - Centro, Fortaleza - CE, 60060-091;Loja de prateleiras;;Supermercado
Ismael Supermercados | Parque Dom Pedro;3.9;861 comentários;Av. I, 237 - Vila Machado, Itaitinga - CE, 61880-000;Supermercado;15 min;Supermercado
Mercadinho Econômico;4.0;Um comentário;R. São Paulo, 351 - Carlito Pamplona, Fortaleza - CE, 60310-330;Supermercado;;Supermercado
Promobeer;5.0;2 comentários;R. Pinto Madeira, 1159 - Altos - Aldeota, Fortaleza - CE, 60150-055;Loja de bebidas alcoólicas;;Supermercado
Freitas Supermercado;4.0;881 comentários;R. Tiburcio Targino, 358 - Centro, Aquiraz - CE, 61700-000;Supermercado;20 min;Supermercado
#Gôndolas - Instalações Comerciais;5.0;Um comentário;R. Pedro Borges, 30 - Centro, Fortaleza - CE, 60055-110;Fábrica de Móveis;;Supermercado
'Mini Mercado Gaivota';;;R. São Paulo, 1421 - Carlito Pamplona, Fortaleza - CE, 60310-330;;;Supermercado
SECVGAF;3.6;44 comentários;R. Jaime Benévolo, 1040 - José Bonifacio, Fortaleza - CE, 60050-081;Sindicato em Fortaleza, Ceará;;Supermercado
Mercado de alimentos;;;R. Recanto Verde, 2051 - Jangurussu, Fortaleza - CE, 60870-520;;;Supermercado
LOJÃO;;;Condomínio do Edifício Portugal - R. Pedro Borges, 135 - Centro, Fortaleza - CE, 60055-110;;;Supermercado
Mercadinho Golmes;;;R. Socorro Gomes, 177 - Manuel Dias Branco, Fortaleza - CE, 60191-662;;;Supermercado
Iguatemi Bosque;4.7;71.229 comentários;Av. Washington Soares, 85 - Edson Queiroz, Fortaleza - CE, 60811-341;Shopping center em Fortaleza, Ceará;45 min a 3 h;Supermercado
Mercadinho Ariane;;;Rua 24 de Maio, 441 - Centro, Fortaleza - CE, 60020-000;;;Supermercado
Lavanderia 60 Minutos;4.5;39 comentários;Supermercado Pão de Açúcar - Av. Aguanambi, 1393 - Loja B - Fátima, Fortaleza - CE, 60055-401;Lavanderia em Fortaleza, Ceará;;Supermercado
sushi da jane;5.0;Um comentário;R. J da Penha, 700 - Centro, Fortaleza - CE, 60110-120;Restaurante japonês;;Supermercado
Acc Acabamentos Para Construção Civil Ltda;;;R. Floriano Peixoto, 2100 - Centro, Fortaleza - CE, 60025-131;;;Supermercado
Distribuidora El Shadai;3.5;2 comentários;R. Barão do Rio Branco, 1416 - Centro, Fortaleza - CE, 60025-061;Supermercado;;Supermercado
Supermercado Pinheiro - Praia de Iracema;4.4;2.396 comentários;Av. Monsenhor Tabosa, 697 - Praia de Iracema, Fortaleza - CE, 60165-011;Supermercado;25 min;Supermercado
Assaí Atacadista;4.3;2.168 comentários;Av. Bezerra de Menezes, 571 - Farias Brito, Fortaleza - CE, 60325-003;Supermercado;15 min a 1 h;Supermercado
Mercadinho João & Dani Neblina;;;Farias Brito, Fortaleza - CE, 60035-130;;;Supermercado
Procon Fortaleza;3.1;178 comentários;R. Major Facundo, 869 - Centro, Fortaleza - CE, 60025-100;Repartição pública em Fortaleza, Ceará;;Supermercado
Supermercado Rabelo;4.5;916 comentários;R. Dr. Daltro Holanda, 2420 - Centro, Russas - CE, 62900-000;Supermercado;20 min;Supermercado
North Shopping Fortaleza;4.5;40.613 comentários;Av. Bezerra de Menezes, 2450 - Pres. Kennedy, Fortaleza - CE, 60325-902;Shopping center em Fortaleza, Ceará;;Supermercado
Exito Corretora de Mercadorias e Futuros;5.0;Um comentário;Av. Dom Manuel, 1020 - Centro, Fortaleza - CE, 60060-090;Supermercado;;Supermercado
Emílio Ribas;3.5;91 comentários;Av. Bezerra de Menezes, 970 - São Gerardo, Fortaleza - CE, 60325-001;Laboratório médico em Fortaleza, Ceará;;Supermercado
Emílio Ribas;3.2;206 comentários;Av. Barão de Studart, 1001 - Meireles, Fortaleza - CE, 60120-001;Laboratório médico em Fortaleza, Ceará;;Supermercado
Mercadinho & Lanchonete Irmãs Lisboa;4.0;Um comentário;R. Barão de Aratanha, 627 - José Bonifacio, Fortaleza - CE, 60050-071;Supermercado;;Supermercado
Renda Corretora de Mercadorias;4.0;2 comentários;R. Sen. Pompeu, 1520 - Centro, Fortaleza - CE, 60025-001;Supermercado;;Supermercado
Mercadinho;;;R. Agamenon, 522 - Vila Peri, Fortaleza - CE, 60730-185;;;Supermercado
Supermercado Fortaleza;4.1;41 comentários;R. Campos Sales, 31, Bela Vista do Maranhão - MA, 65335-000;Supermercado;15 min;Supermercado
Supermercado Fortaleza JK;4.5;1.316 comentários;Rod. Juscelino Kubitscheck, 1000 - Jardim Marco Zero, Macapá - AP, 68903-197;Supermercado;15 min;Supermercado
Supermercado Fortaleza Laguinho;4.4;1.374 comentários;R. Gen. Rondon, 786 - Laguinho, Macapá - AP, 68905-160;Supermercado;20 min;Supermercado
Supermercado Fortaleza Br;4.3;1.363 comentários;Rod. BR 156, Km 0, s/n - Jardim Felicidade, Macapá - AP, 68900-067;Supermercado;20 min;Supermercado
Supermercado Fortaleza Matriz;4.4;815 comentários;Rua Tiradentes, 1442 Trem - Central, Macapá - AP, 68900-098;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.2;269 comentários;Av. Comercial NR 1151, Qd 106 LT 13, Goiânia-Go Whatsapp (62)9.9304-5205 - Jardim Nova Esperanca, Goiânia - GO, 74465-120;Supermercado;15 min;Supermercado
Supermercado Fortaleza Hiper;4.4;810 comentários;R. Leopoldo Machado, 2334 - Trem, Macapá - AP, 68901-130;Supermercado;10 min;Supermercado
Supermercado Fortaleza Perpetuo Socorro;4.3;431 comentários;Av. Pedro Américo, 100 - Julião Ramos, Macapá - AP, 68908-199;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.1;550 comentários;Av. Serrinha, 755 - Marilândia, Ibirité - MG, 30668-250;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.3;255 comentários;R. João Lírio dos Santos, 565 - São João Batista, Belo Horizonte - MG, 31510-400;Supermercado;10 min;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Pão de Açúcar;4.2;2.722 comentários;Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161;Supermercado;15 min;Supermercado
Fortaleza;4.4;362 comentários;R. Américo Luz, 240 - Bairu, Juiz de Fora - MG, 36050-040;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.5;24 comentários;Rua, R. L. Dois, 1 - J, quadra 195, lote - Parque Tremendao, Goiânia - GO, 74475-090;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.0;122 comentários;R. Luiz Bigonha, 11 - Lourical, Ubá - MG, 36505-050;Supermercado;15 min;Supermercado
Supermercado Fortaleza loja 1;4.4;140 comentários;R. Pedro de Tolêdo, n119 - Itajobi, SP, 15840-000;Supermercado;15 min;Supermercado
Depósito do Supermercado Fortaleza;4.5;142 comentários;Av. Padre Júlio Maria Lombaerd, 3680 - Alvorada, Macapá - AP, 68906-645;Depósito;;Supermercado
Mercearia Fortaleza super mais;4.3;1.513 comentários;Av. Gov. Valadares, 590 - Manoel Honório, Juiz de Fora - MG, 36051-550;Mercado;20 min;Supermercado
HL Supermercado Açougue e Padaria;4.3;101 comentários;R. 1º de Março, 210, Fortaleza de Minas - MG, 37905-000;Supermercado;20 min;Supermercado
Supermercado Fortaleza - Rod. Emanuel Pinheiro;4.3;384 comentários;Rod. Emanuel Pinheiro - Jardim Florianopolis, Cuiabá - MT, 78055-799;Supermercado;10 min;Supermercado
Supermercado Fortaleza;4.3;238 comentários;Av. Jorge Biváqua, 48 - Japiim, Manaus - AM, 69078-100;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.3;191 comentários;avenida das margaridas quadra 4 lote 24,(supermercado fortaleza parque beira rio, Montividiu - GO, 75915-000;Supermercado;15 min;Supermercado
Supermercado Fortaleza - Loja 1;4.3;857 comentários;R. Clóvis Cersósimo de Souza, 3575 - Jd Hyran de Matos, Dourados - MS, 79833-120;Supermercado;15 min;Supermercado
supermercado fortaleza;4.2;28 comentários;R. Branca Ferreira da Silva, 215 - São Jorge, Uberlândia - MG, 38410-423;Supermercado;15 min;Supermercado
Supermercado Fortaleza Santana;4.3;932 comentários;R. Gen. Ubaldo Figueira, 623 - Centro, Santana - AP, 68925-000;Supermercado;15 min;Supermercado
Mercado Fortaleza;4.2;106 comentários;Av. Florinda Negrão, 214 - Despraiado, Cuiabá - MT, 78048-990;Supermercado;10 min;Supermercado
Supermercado Fortaleza loja 2;4.3;392 comentários;R. Cuiabá, 1025 - Centro, Dourados - MS, 79802-030;Supermercado;15 min;Supermercado
Mercado Fortaleza;4.6;5 comentários;Av. Estr. de Ferro Araraquara, 1099 - Vila Gaspar (Vila Xavier), Araraquara - SP, 14810-388;Supermercado;;Supermercado
Supermecado Fortaleza II;4.4;77 comentários;R Ângelo Freddi, 105 - Jd Ipe, Itajobi - SP, 15840-000;Supermercado;15 min;Supermercado
Supermercado Fortaleza III;4.2;297 comentários;R. Rodrigues Alves, 63 - Residência Santa Rosa, Santa Adélia - SP, 15950-000;Supermercado;20 min;Supermercado
Supermercado Fortaleza;5.0;3 comentários;Umbará, Curitiba - PR, 81930-151;Supermercado;;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Minuto Pão de Açúcar;4.3;912 comentários;Av. Washington Soares, 1500 Lojas 3, 4, 05, Rua Leste Cinco - Edson Queiroz, Fortaleza - CE, 60811-341;Supermercado;15 min;Supermercado
Supermercado fortaleza loja 3;4.2;58 comentários;Av. José Roberto Teixeira, 895 - Jardim Florida, Dourados - MS, 79822-080;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.3;41 comentários;Tv. do Rosário, 2-116 - Fortaleza, Rio Pardo - RS, 96640-000;Supermercado;15 min;Supermercado
Supermercado Cotribá - Fortaleza dos Valos;4.3;78 comentários;Av. Gerônimo Stefanello, 243 - Centro, Fortaleza dos Valos - RS, 98125-000;Supermercado;15 min;Supermercado
Mercado Fortaleza;4.3;195 comentários;R. Rondônia, 5449 - Jardim Tropical, Rolim de Moura - RO, 76940-000;Supermercado;15 min;Supermercado
Supermercado Fortaleza;4.3;73 comentários;Av. Fortaleza, 477 - Centro, Seberi - RS, 98380-000;Supermercado;15 min;Supermercado
Supermercado Fortaleza;;;Avenida Pedro Ludovico - s/n lt 5, Tabocão - TO, 77708-000;;;Supermercado
Supermercado Fortaleza;4.1;12 comentários;Tv. Santo Antônio, 2-74, Oeiras do Pará - PA, 68470-000;Supermercado;;Supermercado
